#	Some typical white LED spectrum
dfat 1.0	
dataname:	Some typical white LED spectrum
continuous
radiometric	
393	0.0062
394.3	0.0072
395.6	0.0084
396.9	0.0097
398.2	0.0111
399.5	0.0127
400.8	0.0145
402.1	0.0164
403.4	0.0185
404.7	0.0208
406	0.0232
407.3	0.026
408.6	0.029
409.9	0.0323
411.2	0.0361
412.5	0.0403
413.8	0.0449
415.1	0.0504
416.4	0.0564
417.7	0.0633
419	0.0713
420.3	0.0801
421.6	0.0904
422.9	0.1025
424.2	0.1161
425.5	0.1331
426.8	0.1539
428.1	0.1778
429.4	0.2101
430.7	0.2491
432	0.2939
433.3	0.3538
434.6	0.4205
435.9	0.4953
437.2	0.5801
438.5	0.6666
439.8	0.7543
441.1	0.8328
442.4	0.9024
443.7	0.9559
445	0.9854
446.3	1
447.6	0.9895
448.9	0.9592
450.2	0.9172
451.5	0.8591
452.8	0.7956
454.1	0.7285
455.4	0.661
456.7	0.5968
458	0.5355
459.3	0.4829
460.6	0.4347
461.9	0.3916
463.2	0.3559
464.5	0.3231
465.8	0.2941
467.1	0.269
468.4	0.2457
469.7	0.225
471	0.2068
472.3	0.19
473.6	0.1757
474.9	0.1634
476.2	0.1526
477.5	0.1444
478.8	0.138
480.1	0.133
481.4	0.1306
482.7	0.1294
484	0.1295
485.3	0.1317
486.6	0.1348
487.9	0.1389
489.2	0.1444
490.5	0.1504
491.8	0.1571
493.1	0.1645
494.4	0.1722
495.7	0.1805
497	0.1892
498.3	0.1982
499.6	0.2077
500.9	0.2176
502.2	0.2279
503.5	0.2386
504.8	0.2495
506.1	0.2606
507.4	0.2718
508.7	0.2831
510	0.2943
514	0.327645498
518	0.358157102
522	0.385268031
526	0.409072749
530	0.428626625
534	0.443929658
538	0.455454165
542	0.463483534
546	0.468867935
550	0.471560135
554	0.47231584
558	0.471560135
562	0.46962364
566	0.466175734
570	0.461216418
574	0.454698459
578	0.446244006
582	0.436655994
586	0.425178719
590	0.412142802
594	0.397926095
598	0.382009052
602	0.365100144
606	0.347293837
610	0.329015214
614	0.310594896
618	0.292316273
622	0.274368272
626	0.256892585
630	0.240078142
634	0.22392494
638	0.208574675
642	0.194027347
646	0.180282956
650	0.167435965
654	0.155250217
658	0.143820173
662	0.133051372
666	0.12284935
670	0.113119644
674	0.103956716
678	0.095266105
682	0.087095041
686	0.079349061
690	0.072075397
694	0.065179586
698	0.058708859
702	0.052663216
706	0.047042658
710	0.041847183
714	0.037029562
718	0.032589793
722	0.028575108
726	0.024938276
730	0.021632065
734	0.018656476
738	0.016058739
742	0.013697159
746	0.011666201
750	0.009871401
754	0.008312759
758	0.006943043
762	0.005809485
766	0.004817622
770	0.003967453
774	0.003258979
778	0.002644969
782	0.002125421
786	0.001747569
790	0.001369716
794	0.001133558
798	0.0008974
802	0.000708474
806	0.000566779
810	0.000425084
